id,account_id,occurred_at,channel
1,1001,2014-12-15 19:39:00,direct
2,1001,2015-01-13 07:44:00,direct
3,1001,2015-02-12 21:38:00,direct
4,1001,2015-03-13 22:13:00,direct
5,1001,2015-04-12 22:45:00,direct
6,1001,2015-05-12 15:28:00,direct
7,1001,2015-06-11 01:32:00,direct
8,1001,2015-07-10 14:54:00,direct
9,1001,2015-08-08 00:50:00,direct
10,1001,2015-09-07 22:05:00,direct
11,1001,2015-10-04 02:44:00,direct
12,1001,2015-11-02 03:12:00,direct
13,1001,2015-12-01 18:27:00,direct
14,1001,2015-12-31 14:28:00,direct
15,1001,2016-01-30 21:01:00,direct
16,1001,2016-02-28 01:37:00,direct
17,1001,2016-03-28 06:44:00,direct
18,1001,2016-04-27 18:40:00,direct
19,1001,2016-05-26 03:27:00,direct
20,1001,2016-06-25 08:11:00,direct
21,1001,2016-07-24 20:09:00,direct
22,1001,2016-08-23 12:04:00,direct
23,1001,2016-09-21 13:08:00,direct
24,1001,2016-10-20 00:18:00,direct
25,1001,2016-11-19 11:49:00,direct
26,1001,2016-12-18 01:31:00,direct
27,1011,2015-01-01 09:03:00,direct
28,1011,2015-01-31 19:51:00,direct
29,1011,2015-03-01 01:01:00,direct
30,1011,2015-03-31 07:20:00,direct
31,1011,2015-04-29 19:58:00,direct
32,1011,2015-05-29 11:38:00,direct
33,1011,2015-06-28 06:40:00,direct
34,1011,2015-07-27 11:32:00,direct
35,1011,2015-08-25 18:53:00,direct
36,1011,2015-09-24 12:07:00,direct
37,1011,2015-10-24 11:54:00,direct
38,1011,2015-11-23 10:59:00,direct
39,1011,2015-12-22 13:22:00,direct
40,1011,2016-01-20 17:48:00,direct
41,1011,2016-02-18 06:15:00,direct
42,1011,2016-03-19 00:09:00,direct
43,1011,2016-04-17 06:05:00,direct
44,1011,2016-05-17 12:31:00,direct
45,1011,2016-06-16 10:40:00,direct
46,1011,2016-07-16 04:54:00,direct
47,1011,2016-08-15 13:29:00,direct
48,1011,2016-09-14 12:21:00,direct
49,1011,2016-10-13 09:34:00,direct
50,1011,2016-11-12 22:37:00,direct
51,1011,2016-12-12 10:01:00,direct
52,1021,2014-12-17 20:32:00,direct
53,1021,2015-01-16 14:22:00,direct
54,1021,2015-02-15 16:14:00,direct
55,1021,2015-03-17 00:32:00,direct
56,1021,2015-04-15 13:12:00,direct
57,1021,2015-05-15 05:45:00,direct
58,1021,2015-06-13 14:59:00,direct
59,1021,2015-07-13 06:00:00,direct
60,1021,2015-08-12 09:13:00,direct
61,1021,2015-09-10 18:21:00,direct
62,1021,2015-10-09 23:55:00,direct
63,1021,2015-11-07 14:34:00,direct
64,1021,2015-12-07 06:08:00,direct
65,1031,2016-09-30 04:57:00,direct
66,1031,2016-10-30 20:30:00,direct
67,1031,2016-11-28 06:34:00,direct
68,1031,2016-12-28 14:46:00,direct
69,1041,2014-12-19 08:52:00,direct
70,1041,2015-01-17 18:42:00,direct
71,1041,2015-02-16 20:42:00,direct
72,1041,2015-03-18 20:18:00,direct
73,1041,2015-04-17 15:56:00,direct
74,1041,2015-05-16 08:26:00,direct
75,1041,2015-06-14 22:06:00,direct
76,1041,2015-07-13 08:29:00,direct
77,1041,2015-08-12 06:34:00,direct
78,1041,2015-09-11 09:20:00,direct
79,1041,2015-10-11 23:16:00,direct
80,1041,2015-11-09 15:21:00,direct
81,1041,2015-12-09 11:22:00,direct
82,1041,2016-01-08 23:35:00,direct
83,1041,2016-02-06 17:45:00,direct
84,1041,2016-03-07 12:27:00,direct
85,1041,2016-04-05 19:31:00,direct
86,1041,2016-05-05 17:09:00,direct
87,1041,2016-06-03 05:40:00,direct
88,1041,2016-07-03 19:09:00,direct
89,1051,2015-02-13 04:16:00,direct
90,1051,2015-03-14 05:56:00,direct
91,1051,2015-04-12 12:24:00,direct
92,1051,2015-05-11 07:23:00,direct
93,1051,2015-06-09 00:42:00,direct
94,1051,2015-07-09 01:58:00,direct
95,1051,2015-08-08 06:55:00,direct
96,1051,2015-09-07 00:16:00,direct
97,1051,2015-10-07 03:28:00,direct
98,1051,2015-11-05 10:27:00,direct
99,1051,2015-12-05 21:40:00,direct
100,1051,2016-01-04 19:03:00,direct
101,1051,2016-02-03 19:50:00,direct
102,1051,2016-03-03 09:48:00,direct
103,1051,2016-04-02 07:48:00,direct
104,1051,2016-05-01 07:06:00,direct
105,1051,2016-05-31 03:53:00,direct
106,1051,2016-06-30 07:12:00,direct
107,1051,2016-07-29 10:50:00,direct
108,1051,2016-08-28 13:49:00,direct
109,1051,2016-09-27 23:15:00,direct
110,1051,2016-10-27 00:22:00,direct
111,1051,2016-11-26 15:47:00,direct
